date,service_id
20260202,hjam2601-Weekday-1-JA2026-1111100
20260202,hjan2601-Weekday-17-JA2026-1111100
20260203,hjam2601-Weekday-1-JA2026-1111100
20260203,hjan2601-Weekday-17-JA2026-1111100
20260204,hjam2601-Weekday-1-JA2026-1111100
20260204,hjan2601-Weekday-17-JA2026-1111100
20260205,hjam2601-Weekday-1-JA2026-1111100
20260205,hjan2601-Weekday-17-JA2026-1111100
20260205,hjat2601-Weekday-1-JA2026-0001000
20260206,hjam2601-Weekday-1-JA2026-1111100
20260206,hjan2601-Weekday-17-JA2026-1111100
20260207,hjam2606-Saturday-1-JA2026-0000010
20260207,hjan2606-Saturday-95-JA2026-0000010
20260208,hjam2607-Sunday-1-JA2026-0000001
20260208,hjap2607-Sunday-1-JA2026-0000001
20260209,hjam2601-Weekday-1-JA2026-1111100
20260209,hjan2601-Weekday-17-JA2026-1111100
20260210,hjam2601-Weekday-1-JA2026-1111100
20260210,hjan2601-Weekday-17-JA2026-1111100
20260211,hjam2601-Weekday-1-JA2026-1111100
20260211,hjan2601-Weekday-17-JA2026-1111100
20260212,hjam2601-Weekday-1-JA2026-1111100
20260212,hjan2601-Weekday-17-JA2026-1111100
20260212,hjat2601-Weekday-1-JA2026-0001000
20260213,hjam2601-Weekday-1-JA2026-1111100
20260213,hjan2601-Weekday-17-JA2026-1111100
20260214,hjam2606-Saturday-1-JA2026-0000010
20260214,hjan2606-Saturday-95-JA2026-0000010
20260215,hjam2607-Sunday-1-JA2026-0000001
20260215,hjap2607-Sunday-1-JA2026-0000001
20260216,hjam2601-Weekday-1-JA2026-1111100
20260216,hjan2601-Weekday-17-JA2026-1111100
20260217,hjam2601-Weekday-1-JA2026-1111100
20260217,hjan2601-Weekday-17-JA2026-1111100
20260218,hjam2601-Weekday-1-JA2026-1111100
20260218,hjan2601-Weekday-17-JA2026-1111100
20260219,hjam2601-Weekday-1-JA2026-1111100
20260219,hjan2601-Weekday-17-JA2026-1111100
20260219,hjat2601-Weekday-1-JA2026-0001000
20260220,hjam2601-Weekday-1-JA2026-1111100
20260220,hjan2601-Weekday-17-JA2026-1111100
20260221,hjam2606-Saturday-1-JA2026-0000010
20260221,hjan2606-Saturday-95-JA2026-0000010
20260222,hjam2607-Sunday-1-JA2026-0000001
20260222,hjap2607-Sunday-1-JA2026-0000001
20260223,hjam2601-Weekday-1-JA2026-1111100
20260223,hjan2601-Weekday-17-JA2026-1111100
20260224,hjam2601-Weekday-1-JA2026-1111100
20260224,hjan2601-Weekday-17-JA2026-1111100
20260225,hjam2601-Weekday-1-JA2026-1111100
20260225,hjan2601-Weekday-17-JA2026-1111100
20260226,hjam2601-Weekday-1-JA2026-1111100
20260226,hjan2601-Weekday-17-JA2026-1111100
20260226,hjat2601-Weekday-1-JA2026-0001000
20260227,hjam2601-Weekday-1-JA2026-1111100
20260227,hjan2601-Weekday-17-JA2026-1111100
20260228,hjam2606-Saturday-1-JA2026-0000010
20260228,hjan2606-Saturday-95-JA2026-0000010
20260301,hjam2607-Sunday-1-JA2026-0000001
20260301,hjap2607-Sunday-1-JA2026-0000001
20260302,hjam2601-Weekday-1-JA2026-1111100
20260302,hjan2601-Weekday-17-JA2026-1111100
20260303,hjam2601-Weekday-1-JA2026-1111100
20260303,hjan2601-Weekday-17-JA2026-1111100
20260304,hjam2601-Weekday-1-JA2026-1111100
20260304,hjan2601-Weekday-17-JA2026-1111100
20260305,hjam2601-Weekday-1-JA2026-1111100
20260305,hjan2601-Weekday-17-JA2026-1111100
20260305,hjat2601-Weekday-1-JA2026-0001000
20260306,hjam2601-Weekday-1-JA2026-1111100
20260306,hjan2601-Weekday-17-JA2026-1111100
20260307,hjam2606-Saturday-1-JA2026-0000010
20260307,hjan2606-Saturday-95-JA2026-0000010
20260308,hjam2607-Sunday-1-JA2026-0000001
20260308,hjap2607-Sunday-1-JA2026-0000001
20260309,hjam2601-Weekday-1-JA2026-1111100
20260309,hjan2601-Weekday-17-JA2026-1111100
20260310,hjam2601-Weekday-1-JA2026-1111100
20260310,hjan2601-Weekday-17-JA2026-1111100
20260311,hjam2601-Weekday-1-JA2026-1111100
20260311,hjan2601-Weekday-17-JA2026-1111100
20260312,hjam2601-Weekday-1-JA2026-1111100
20260312,hjan2601-Weekday-17-JA2026-1111100
20260312,hjat2601-Weekday-1-JA2026-0001000
20260313,hjam2601-Weekday-1-JA2026-1111100
20260313,hjan2601-Weekday-17-JA2026-1111100
20260314,hjam2606-Saturday-1-JA2026-0000010
20260314,hjan2606-Saturday-95-JA2026-0000010
20260315,hjam2607-Sunday-1-JA2026-0000001
20260315,hjap2607-Sunday-1-JA2026-0000001
20260316,hjam2601-Weekday-1-JA2026-1111100
20260316,hjan2601-Weekday-17-JA2026-1111100
20260317,hjam2601-Weekday-1-JA2026-1111100
20260317,hjan2601-Weekday-17-JA2026-1111100
20260318,hjam2601-Weekday-1-JA2026-1111100
20260318,hjan2601-Weekday-17-JA2026-1111100
20260319,hjam2601-Weekday-1-JA2026-1111100
20260319,hjan2601-Weekday-17-JA2026-1111100
20260319,hjat2601-Weekday-1-JA2026-0001000
20260320,hjam2601-Weekday-1-JA2026-1111100
20260320,hjan2601-Weekday-17-JA2026-1111100
20260321,hjam2606-Saturday-1-JA2026-0000010
20260321,hjan2606-Saturday-95-JA2026-0000010
20260322,hjam2607-Sunday-1-JA2026-0000001
20260322,hjap2607-Sunday-1-JA2026-0000001
20260323,hjam2601-Weekday-1-JA2026-1111100
20260323,hjan2601-Weekday-17-JA2026-1111100
20260324,hjam2601-Weekday-1-JA2026-1111100
20260324,hjan2601-Weekday-17-JA2026-1111100
20260325,hjam2601-Weekday-1-JA2026-1111100
20260325,hjan2601-Weekday-17-JA2026-1111100
20260326,hjam2601-Weekday-1-JA2026-1111100
20260326,hjan2601-Weekday-17-JA2026-1111100
20260326,hjat2601-Weekday-1-JA2026-0001000
20260327,hjam2601-Weekday-1-JA2026-1111100
20260327,hjan2601-Weekday-17-JA2026-1111100
20260328,hjam2606-Saturday-1-JA2026-0000010
20260328,hjan2606-Saturday-95-JA2026-0000010
20260329,hjam2607-Sunday-1-JA2026-0000001
20260329,hjap2607-Sunday-1-JA2026-0000001
20260330,hjam2601-Weekday-1-JA2026-1111100
20260330,hjan2601-Weekday-17-JA2026-1111100
20260331,hjam2601-Weekday-1-JA2026-1111100
20260331,hjan2601-Weekday-17-JA2026-1111100
20260401,hjam2601-Weekday-1-JA2026-1111100
20260401,hjan2601-Weekday-17-JA2026-1111100
20260402,hjam2601-Weekday-1-JA2026-1111100
20260402,hjan2601-Weekday-17-JA2026-1111100
20260402,hjat2601-Weekday-1-JA2026-0001000
20260403,hjam2601-Weekday-1-JA2026-1111100
20260403,hjan2601-Weekday-17-JA2026-1111100
20260404,hjam2606-Saturday-1-JA2026-0000010
20260404,hjan2606-Saturday-95-JA2026-0000010
20260405,hjam2607-Sunday-1-JA2026-0000001
20260405,hjap2607-Sunday-1-JA2026-0000001
20260406,hjam2601-Weekday-1-JA2026-1111100
20260406,hjan2601-Weekday-17-JA2026-1111100
20260407,hjam2601-Weekday-1-JA2026-1111100
20260407,hjan2601-Weekday-17-JA2026-1111100
