trip_id,arrival_time,headsign,service_id
4773563,05:58:00,TF Green Airport via Warwick Ave,hjun2601-Weekday-3-JU2026-1111100
4772250,06:17:00,Shaw's (Warwick),hjun2601-Weekday-3-JU2026-1111100
4773524,06:38:00,TF Green Airport via Warwick Ave,hjun2601-Weekday-3-JU2026-1111100
4772926,06:56:00,Shaw's (Warwick),hjun2601-Weekday-3-JU2026-1111100
4777323,07:01:00,Shaw's (Warwick),hjun2606-Saturday-2-JU2026-0000010
4778922,07:06:00,Shaw's (Warwick),hjun2607-Sunday-1-JU2026-0000001
4772642,07:15:00,TF Green Airport via Warwick Ave,hjun2601-Weekday-3-JU2026-1111100
4771962,07:34:00,Shaw's (Warwick),hjun2601-Weekday-3-JU2026-1111100
4777316,07:41:00,TF Green Airport via Warwick Ave,hjun2606-Saturday-2-JU2026-0000010
4778917,07:42:00,TF Green Airport via Warwick Ave,hjun2607-Sunday-1-JU2026-0000001
4773567,07:55:00,TF Green Airport via Warwick Ave,hjun2601-Weekday-3-JU2026-1111100
4771252,08:14:00,Shaw's (Warwick),hjun2601-Weekday-3-JU2026-1111100
4777338,08:24:00,Shaw's (Warwick),hjun2606-Saturday-2-JU2026-0000010
4778914,08:26:00,Shaw's (Warwick),hjun2607-Sunday-1-JU2026-0000001
4773531,08:35:00,TF Green Airport via Warwick Ave,hjun2601-Weekday-3-JU2026-1111100
4772174,08:54:00,Shaw's (Warwick),hjun2601-Weekday-3-JU2026-1111100
4777306,09:06:00,TF Green Airport via Warwick Ave,hjun2606-Saturday-2-JU2026-0000010
4778908,09:07:00,TF Green Airport via Warwick Ave,hjun2607-Sunday-1-JU2026-0000001
4773492,09:14:00,TF Green Airport via Warwick Ave,hjun2601-Weekday-3-JU2026-1111100
4772928,09:34:00,Shaw's (Warwick),hjun2601-Weekday-3-JU2026-1111100
4778904,09:43:00,Shaw's (Warwick),hjun2607-Sunday-1-JU2026-0000001
4777376,09:50:00,Shaw's (Warwick),hjun2606-Saturday-2-JU2026-0000010
4772648,09:54:00,TF Green Airport via Warwick Ave,hjun2601-Weekday-3-JU2026-1111100
4771964,10:14:00,Shaw's (Warwick),hjun2601-Weekday-3-JU2026-1111100
