route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_type,trip_footnote
24,hjam2601-Weekday-1-JA2026-1111100,4427156,"Providence",0,469629,240019,0,
24,hjam2601-Weekday-1-JA2026-1111100,4427157,"Providence",0,469630,240019,0,
24,hjam2601-Weekday-1-JA2026-1111100,4427158,"Providence",0,469631,240019,0,
24,hjam2601-Weekday-1-JA2026-1111100,4427159,"Newport",1,469629,240021,0,
24,hjam2601-Weekday-1-JA2026-1111100,4427160,"Newport",1,469630,240021,0,
24,hjam2601-Weekday-1-JA2026-1111100,4427161,"Newport",1,469631,240021,0,
63,hjam2601-Weekday-1-JA2026-1111100,4427165,"Newport Transit Center",0,469633,630078,0,
63,hjam2601-Weekday-1-JA2026-1111100,4427166,"Stop&Shop (Middletown)",1,469633,630071,0,
63,hjam2601-Weekday-1-JA2026-1111100,4427167,"Newport Transit Center",0,469633,630078,0,
63,hjam2601-Weekday-1-JA2026-1111100,4427168,"Oxbow Apartments",1,469632,630075,0,
63,hjam2601-Weekday-1-JA2026-1111100,4427169,"Newport Transit Center",0,469632,630078,0,
63,hjam2601-Weekday-1-JA2026-1111100,4427170,"Newport Transit Center",0,469632,630078,0,
63,hjam2601-Weekday-1-JA2026-1111100,4427171,"Stop&Shop (Middletown)",1,469633,630071,0,
63,hjam2601-Weekday-1-JA2026-1111100,4427172,"Newport Transit Center",0,469633,630079,0,
63,hjam2601-Weekday-1-JA2026-1111100,4427173,"Newport Transit Center",0,469632,630079,0,
63,hjam2601-Weekday-1-JA2026-1111100,4427174,"Stop&Shop (Middletown)",1,469632,630071,0,
63,hjam2601-Weekday-1-JA2026-1111100,4427175,"Newport Transit Center",0,469632,630078,0,
63,hjam2601-Weekday-1-JA2026-1111100,4427176,"Stop&Shop (Middletown)",1,469632,630071,0,
63,hjam2601-Weekday-1-JA2026-1111100,4427177,"Stop&Shop (Middletown)",1,469632,630071,0,
63,hjam2601-Weekday-1-JA2026-1111100,4427178,"Oxbow Apartments",1,469633,630075,0,
63,hjam2601-Weekday-1-JA2026-1111100,4427179,"Newport Transit Center",0,469632,630079,0,
63,hjam2601-Weekday-1-JA2026-1111100,4427180,"Newport Transit Center",0,469632,630078,0,
63,hjam2601-Weekday-1-JA2026-1111100,4427181,"Stop&Shop (Middletown)",1,469633,630071,0,
63,hjam2601-Weekday-1-JA2026-1111100,4427182,"Stop&Shop (Middletown)",1,469632,630071,0,
63,hjam2601-Weekday-1-JA2026-1111100,4427183,"Stop&Shop (Middletown)",1,469632,630071,0,
63,hjam2601-Weekday-1-JA2026-1111100,4427184,"Newport Transit Center",0,469633,630079,0,
63,hjam2601-Weekday-1-JA2026-1111100,4427185,"Newport Transit Center",0,469633,630078,0,
63,hjam2601-Weekday-1-JA2026-1111100,4427186,"Newport Transit Center",0,469632,630078,0,
63,hjam2601-Weekday-1-JA2026-1111100,4427187,"Newport Transit Center",0,469633,630078,0,
63,hjam2601-Weekday-1-JA2026-1111100,4427188,"Stop&Shop (Middletown)",1,469633,630071,0,
63,hjam2601-Weekday-1-JA2026-1111100,4427189,"Newport Transit Center",0,469633,630078,0,
63,hjam2601-Weekday-1-JA2026-1111100,4427190,"Newport Transit Center",0,469632,630078,0,
63,hjam2601-Weekday-1-JA2026-1111100,4427191,"Newport Transit Center",0,469633,630078,0,
63,hjam2601-Weekday-1-JA2026-1111100,4427192,"Newport Transit Center",0,469632,630078,0,
63,hjam2601-Weekday-1-JA2026-1111100,4427193,"Newport Transit Center",0,469633,630078,0,
63,hjam2601-Weekday-1-JA2026-1111100,4427194,"Stop&Shop (Middletown)",1,469632,630071,0,
63,hjam2601-Weekday-1-JA2026-1111100,4427195,"Stop&Shop (Middletown)",1,469633,630071,0,
63,hjam2601-Weekday-1-JA2026-1111100,4427196,"Stop&Shop (Middletown)",1,469633,630071,0,
63,hjam2601-Weekday-1-JA2026-1111100,4427197,"Newport Transit Center",0,469632,630078,0,
63,hjam2601-Weekday-1-JA2026-1111100,4427198,"Stop&Shop (Middletown)",1,469632,630071,0,
63,hjam2601-Weekday-1-JA2026-1111100,4427199,"Stop&Shop (Middletown)",1,469633,630071,0,
63,hjam2601-Weekday-1-JA2026-1111100,4427200,"Oxbow Apartments",1,469633,630075,0,
63,hjam2601-Weekday-1-JA2026-1111100,4427201,"Oxbow Apartments",1,469632,630075,0,
63,hjam2601-Weekday-1-JA2026-1111100,4427202,"Stop&Shop (Middletown)",1,469633,630071,0,
63,hjam2601-Weekday-1-JA2026-1111100,4427203,"Stop&Shop (Middletown)",1,469632,630071,0,
63,hjam2601-Weekday-1-JA2026-1111100,4427204,"Stop&Shop (Middletown)",1,469633,630071,0,
63,hjam2601-Weekday-1-JA2026-1111100,4427205,"Newport Transit Center",0,469633,630078,0,
63,hjam2601-Weekday-1-JA2026-1111100,4427206,"Newport Transit Center",0,469632,630078,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427214,"Bellevue Ave & Ruggles Ave",1,469670,670001,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427215,"Newport Transit Center",0,469670,670027,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427216,"Bellevue Ave & Ledge Rd",1,469670,670003,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427217,"Newport Transit Center",0,469670,670027,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427218,"Bellevue Ave & Ledge Rd",1,469670,670003,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427219,"Newport Transit Center",0,469670,670027,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427220,"Bellevue Ave & Ledge Rd",1,469670,670003,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427221,"Newport Transit Center",0,469670,670027,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427222,"Bellevue Ave & Ledge Rd",1,469670,670003,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427223,"Newport Transit Center",0,469670,670027,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427224,"Bellevue Ave & Ledge Rd",1,469670,670003,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427225,"Newport Transit Center",0,469670,670027,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427226,"Bellevue Ave & Ledge Rd",1,469670,670003,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427227,"Newport Transit Center",0,469670,670027,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427228,"Bellevue Ave & Ledge Rd",1,469670,670003,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427229,"Bellevue Ave & Ledge Rd",1,469669,670003,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427230,"Bellevue Ave & Ledge Rd",1,469669,670003,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427231,"Newport Transit Center",0,469668,670027,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427232,"Newport Transit Center",0,469668,670027,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427233,"Newport Transit Center",0,469668,670027,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427234,"Bellevue Ave & Ledge Rd",1,469668,670003,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427235,"Newport Transit Center",0,469669,670027,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427236,"Newport Transit Center",0,469668,670028,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427237,"Bellevue Ave & Ledge Rd",1,469668,670003,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427238,"Bellevue Ave & Ledge Rd",1,469668,670003,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427239,"Newport Transit Center",0,469669,670027,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427240,"Bellevue Ave & Ruggles Ave",1,469668,670001,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427241,"Bellevue Ave & Ledge Rd",1,469669,670003,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427242,"Newport Transit Center",0,469669,670027,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427243,"Newport Transit Center",0,469669,670027,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427244,"Bellevue Ave & Ledge Rd",1,469669,670003,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427245,"Newport Transit Center",0,469643,670027,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427246,"Newport Transit Center",0,469643,670027,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427247,"Bellevue Ave & Ledge Rd",1,469643,670003,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427248,"Newport Transit Center",0,469643,670027,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427249,"Bellevue Ave & Ledge Rd",1,469643,670003,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427250,"Bellevue Ave & Ledge Rd",1,469643,670003,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427251,"Bellevue Ave & Ruggles Ave",1,469643,670001,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427252,"Newport Transit Center",0,469643,670028,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427253,"Bellevue Ave & Ruggles Ave",1,469643,670001,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427254,"Newport Transit Center",0,469643,670028,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427255,"Newport Transit Center",0,469642,670028,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427256,"Newport Transit Center",0,469642,670027,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427257,"Newport Transit Center",0,469642,670028,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427258,"Newport Transit Center",0,469669,670027,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427259,"Newport Transit Center",0,469642,670027,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427260,"Bellevue Ave & Ruggles Ave",1,469642,670001,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427261,"Bellevue Ave & Ledge Rd",1,469642,670003,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427262,"Bellevue Ave & Ledge Rd",1,469642,670003,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427263,"Bellevue Ave & Ruggles Ave",1,469642,670001,0,
67,hjam2601-Weekday-1-JA2026-1111100,4427264,"Bellevue Ave & Ledge Rd",1,469669,670003,0,
64,hjam2601-Weekday-1-JA2026-1111100,4427265,"Kingston Station",1,469634,640078,1,Trip operates when Public Schools are in session.
14,hjam2601-Weekday-1-JA2026-1111100,4427268,"Newport via Jamestown",1,469657,140089,0,
14,hjam2601-Weekday-1-JA2026-1111100,4427269,"Newport via Jamestown",1,469656,140089,0,
14,hjam2601-Weekday-1-JA2026-1111100,4427270,"Providence via Jamestown",0,469657,140096,0,
14,hjam2601-Weekday-1-JA2026-1111100,4427271,"Providence via Jamestown",0,469656,140096,0,
14,hjam2601-Weekday-1-JA2026-1111100,4427272,"Newport via Jamestown",1,469660,140089,0,
14,hjam2601-Weekday-1-JA2026-1111100,4427273,"Providence via Jamestown",0,469660,140096,0,
